Site,Taxa,Depth,Taxa
Australia,Leptastrea pruinosa,12,5
Australia,Leptastrea pruinosa,12,5
Australia,Leptastrea pruinosa,12,5
Australia,Leptastrea pruinosa,13,5
Australia,Leptastrea pruinosa,13,5
Australia,Leptastrea bottae,14,5
Australia,Leptastrea bottae,14,5
Australia,Leptastrea transversa,14,5
Australia,Leptastrea transversa,14,5
Australia,Leptastrea transversa,14,5
Australia,Leptastrea transversa,14,5
Australia,Leptastrea pruinosa,15,5
Australia,Leptastrea bottae,15,5
Australia,Leptastrea transversa,15,5
Australia,Leptastrea transversa,15,5
Australia,Leptastrea transversa,15,5
Australia,Leptastrea transversa,15,5
Australia,Leptastrea transversa,15,5
Australia,Leptastrea transversa,15,5
Australia,Leptastrea transversa,15,5
Australia,Leptastrea transversa,15,5
Australia,Leptastrea transversa,15,5
Australia,Leptastrea transversa,15,5
Australia,Leptastrea transversa,15,5
Australia,Leptastrea transversa,16,5
Australia,Leptastrea transversa,16,5
Australia,Leptastrea pruinosa,18,5
Australia,Leptastrea pruinosa,18,5
Australia,Leptastrea pruinosa,20,5
Australia,Leptastrea purpurea,20,5
Australia,Leptastrea purpurea,20,5
Australia,Leptastrea pruinosa,20,5
Australia,Leptastrea pruinosa,20,5
Australia,Leptastrea purpurea,20,5
